IR_value,BPM,AvgBPM
1792,3.47,67
1799,3.47,67
1793,3.47,67
1792,3.47,67
1797,3.47,67
1797,3.47,67
1794,3.47,67
1797,3.47,67
1794,3.47,67
1799,3.47,67
1799,3.47,67
1799,3.47,67
1798,3.47,67
1801,3.47,67
1793,3.47,67
1794,3.47,67
1801,3.47,67
1799,3.47,67
1805,3.47,67
1799,3.47,67
1802,3.47,67
1800,3.47,67
1805,3.47,67
1804,3.47,67
1802,3.47,67
1798,3.47,67
1795,3.47,67
1801,3.47,67
1803,3.47,67
1805,3.47,67
1805,3.47,67
1805,3.47,67
1799,3.47,67
1798,3.47,67
1802,3.47,67
1805,3.47,67
1803,3.47,67
1803,3.47,67
1798,3.47,67
1806,0.56,67
1807,0.56,67
1813,0.56,67
1803,0.56,67
1812,0.56,67
1806,0.56,67
1808,0.56,67
1804,0.56,67
1807,0.56,67
1806,0.56,67
1805,0.56,67
1810,0.56,67
1800,0.56,67
1801,0.56,67
1804,0.56,67
1808,0.56,67
1815,0.56,67
1800,0.56,67
1808,0.56,67
1810,0.56,67
1819,0.56,67
1809,0.56,67
1825,0.56,67
1817,0.56,67
1821,0.56,67
1810,0.56,67
1823,0.56,67
1818,0.56,67
1808,0.56,67
1816,0.56,67
1815,1.8,67
1821,1.8,67
1823,1.8,67
1822,1.8,67
1820,1.8,67
1817,1.8,67
1823,1.8,67
1817,1.8,67
1819,1.8,67
1819,1.8,67
1827,1.8,67
1814,4.95,67
1812,4.95,67
1817,4.95,67
1815,4.95,67
1805,4.95,67
1816,4.95,67
1821,4.95,67
1826,4.95,67
1823,4.95,67
1819,4.95,67
1825,4.95,67
1822,4.95,67
1817,4.95,67
1828,4.95,67
1831,4.95,67
1821,4.95,67
1828,4.95,67
1823,4.95,67
1831,4.95,67
1827,4.95,67
1815,4.95,67
1821,4.95,67
1829,4.95,67
1822,4.95,67
1825,4.95,67
0,4.95,67
0,4.95,67
1831,4.95,67
1824,4.95,67
0,4.95,67
1834,1.75,67
1830,1.75,67
1826,1.75,67
1822,1.75,67
1829,1.75,67
1823,1.75,67
1829,1.75,67
1825,1.75,67
1833,1.75,67
1815,1.75,67
1829,1.75,67
1825,1.75,67
1825,1.75,67
1818,1.75,67
1831,1.75,67
1824,1.75,67
1829,1.75,67
1825,1.75,67
1828,1.75,67
1827,1.75,67
1817,1.75,67
1825,1.75,67
1816,1.75,67
1821,1.75,67
1821,1.75,67
1817,1.75,67
1821,1.75,67
1819,1.75,67
1813,1.75,67
1814,1.75,67
1809,1.75,67
0,1.75,67
0,1.75,67
1827,1.75,67
1826,1.75,67
1826,1.75,67
1814,1.75,67
1805,1.75,67
1821,1.75,67
0,1.75,67
0,1.75,67
1828,1.75,67
1823,1.75,67
1840,1.75,67
1836,1.75,67
1832,1.75,67
1835,1.75,67
1830,1.75,67
1834,1.75,67
1830,1.75,67
1821,1.75,67
1829,1.75,67
1820,1.75,67
1830,1.75,67
1825,1.75,67
1821,1.75,67
1836,1.75,67
1827,1.75,67
1824,1.75,67
1815,1.75,67
1829,1.75,67
1829,0.91,67
1835,57.64,62
1820,57.64,62
1833,57.64,62
1830,57.64,62
1831,57.64,62
1835,57.64,62
1836,57.64,62
1831,57.64,62
1836,57.64,62
1829,57.64,62
1835,57.64,62
1837,57.64,62
1832,57.64,62
1840,57.64,62
1832,57.64,62
1834,57.64,62
1840,57.64,62
1829,57.64,62
1835,57.64,62
1817,57.64,62
1832,57.64,62
1840,57.64,62
1837,57.64,62
1836,57.64,62
1830,57.64,62
1836,57.64,62
1838,57.64,62
1842,57.64,62
1831,57.64,62
1844,57.64,62
1833,57.64,62
1837,57.64,62
1838,57.64,62
1822,57.64,62
1842,57.64,62
1833,57.64,62
1832,57.64,62
1828,57.64,62
1825,57.64,62
1832,57.64,62
1827,57.64,62
1838,57.64,62
1835,57.64,62
1829,57.64,62
1832,57.64,62
1822,57.64,62
1834,57.64,62
1817,57.64,62
1818,57.64,62
1826,57.64,62
1815,57.64,62
1826,57.64,62
1833,57.64,62
1825,57.64,62
1826,57.64,62
1821,57.64,62
1829,57.64,62
1826,57.64,62
1837,57.64,62
1834,57.64,62
1841,0.94,62
1844,0.94,62
1838,0.94,62
1836,0.94,62
1834,0.94,62
